Timestamp,P1. ¿En qué turno cursás?,P2. ¿Qué carrera cursás?,P3. ¿En qué rango de edad te encontrás?,P4. ¿Cómo tomás notas principalmente en clase?,P5. ¿Sentís que tenés alguna dificultad con tu forma actual de tomar notas?,P5b. ¿Cuáles son las principales dificultades? (elegí hasta 3),P6. ¿Tenés acceso estable a internet en el instituto?,"P7. ¿Qué tan útil te parecería una app web gratuita, sin cuenta, para tomar notas de estudio?",P8. ¿Qué características te importan más en una app de notas? (elegí hasta 3),P9. ¿Desde qué dispositivo usarías más una app de notas?,P10. ¿Probarías un prototipo de la app cuando esté disponible?,P11. ¿Cómo preferirías organizar tus notas de estudio?,P12. ¿Algún comentario o sugerencia? (opcional)
5/11/2026 18:33:34,Mañana (8 a 12hs),Prof. Educación Especial,18-22,Cuaderno/papel,Si,"No encuentro lo que busco, Se desorganizan rápido, No puedo acceder sin internet",Casi siempre,3,"Que funcione sin internet, Que sea rápida, Que no pida cuenta",Celular,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 21:39:41,Noche (19 a 23hs),Prof. Educación Especial,23-27,Cuaderno/papel,Si,"No encuentro lo que busco, Se desorganizan rápido",A veces,4,"Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 21:40:07,Noche (19 a 23hs),Prof. Educación Especial,18-22,Cuaderno/papel,Si,"No encuentro lo que busco, Se desorganizan rápido",Siempre,4,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"No me importa, con tal de encontrarlas rápido",Las definiciones de palabras específicas de la carrera.
5/11/2026 21:43:49,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,28-35,Celular,No,,Raramente,4,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 21:44:23,Noche (19 a 23hs),Prof. Educación Especial,18-22,Cuaderno/papel,Si,"Se desorganizan rápido, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",Nunca,5,"Que funcione sin internet, Que sea rápida",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 21:45:03,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,23-27,Cuaderno/papel,No,,A veces,5,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",Por ahora nada...
5/11/2026 21:45:27,Noche (19 a 23hs),Prof. Educación Especial,18-22,Cuaderno/papel,Si,"Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",Nunca,4,"Que funcione sin internet, Que sea rápida, Que no pida cuenta, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Cualquiera por igual,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 21:46:02,Noche (19 a 23hs),Prof. Educación Especial,18-22,No tomo notas,,,Raramente,5,"Que funcione sin internet, Que sea rápida, Que no pida cuenta, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,En una lista simple sin organización,
5/11/2026 21:47:03,Noche (19 a 23hs),Prof. Educación Especial,28-35,Cuaderno/papel,No,,A veces,3,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",En base
5/11/2026 22:01:25,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,28-35,Cuaderno/papel,Si,"Me cuesta organizar el formato (títulos, listas, tablas, fórmulas)",Nunca,1,Que funcione sin internet,Celular,Tal vez,"No me importa, con tal de encontrarlas rápido",
5/11/2026 22:03:43,Tarde (14 a 18hs),Prof. en Lengua y Literatura,23-27,Cuaderno/papel,No,,Nunca,3,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 22:08:30,Noche (19 a 23hs),Prof. Educación Especial,28-35,Cuaderno/papel,No,,Nunca,5,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Cualquiera por igual,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/11/2026 22:15:22,De 14 a 18 y en la noche de 19 a 23 hs,Prof. en Lengua y Literatura/ Prof. Educación Especial ,28-35,Cuaderno/papel,No,,A veces,4,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Notebook/PC,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Tomar  notas desde una app es una buena idea pero tiene que ser sin Internet porque en el instituto no todos tienen acceso a la contraseña del wifi, además se complicaría la situación debido a que muchas veces no se puede hacer uso del celular en clase. Y usar notebook en clase no es habitual en el instituto Loutaif . 
En cuánto al profesorado tiene que ser práctico para realizar anotaciones rápidas, poder y usar  ítems y muy importante que permita separar las materias, y dentro de cada materia los temas. También que permita identificar de manera rápida y práctica los nombres de cada una para continuar con las anotaciones. "
5/11/2026 22:21:19,Noche (19 a 23hs),Prof. Educación Especial,18-22,Cuaderno/papel,Si,"Se desorganizan rápido, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",Nunca,5,"Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 22:36:19,Tarde (14 a 18hs),Prof. en Lengua y Literatura,18-22,Cuaderno/papel,Si,Pierdo notas con frecuencia,Raramente,4,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Tal vez,"No me importa, con tal de encontrarlas rápido",
5/11/2026 22:37:34,Noche (19 a 23hs),Prof. Educación Especial,18-22,Cuaderno/papel,Si,"No encuentro lo que busco, No puedo acceder sin internet",Siempre,5,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 22:48:35,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,Si,Se desorganizan rápido,A veces,2,"Que funcione sin internet, Que no pida cuenta, Que permita organizar por materia",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 22:54:02,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,No,,A veces,5,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/11/2026 23:02:56,Tarde (14 a 18hs),Prof. en Educación Primaria,28-35,Cuaderno/papel,Si,Pierdo notas con frecuencia,Siempre,5,"Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 23:12:23,Tarde (14 a 18hs),Prof. en Educación Primaria,23-27,Cuaderno/papel,No,,Casi siempre,5,"Que funcione sin internet, Que sea rápida, Que guarde automáticamente",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Las planificaciones, y las notas para cs Naturales y sus didácticas"
5/11/2026 23:17:07,Mañana (8 a 12hs),Tec. Superior en Turismo,18-22,Cuaderno/papel,No,,Nunca,3,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Cualquiera por igual,Tal vez,"No me importa, con tal de encontrarlas rápido",
5/11/2026 23:31:19,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,18-22,No tomo notas,,,A veces,3,Que sea rápida,Celular,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/11/2026 23:32:46,Tarde (14 a 18hs),Prof. en Lengua y Literatura,23-27,Cuaderno/papel,No,,A veces,4,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",Los esquemas 
5/12/2026 0:35:54,Tarde (14 a 18hs),Prof. en Lengua y Literatura,18-22,Cuaderno/papel,Si,"Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",Nunca,4,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 0:46:02,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,No,,Raramente,4,"Que sea rápida, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Sí, las fórmulas son un ""problema"" a la hora de tomar apuntes. "
5/12/2026 1:11:51,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,Si,"No encuentro lo que busco, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas)",Nunca,5,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 1:22:47,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,28-35,Celular,No,,A veces,4,"Que funcione sin internet, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 1:57:19,Noche (19 a 23hs),Prof. Educación Especial,28-35,Cuaderno/papel,Si,"Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",Nunca,5,"Que funcione sin internet, Que permita organizar por materia, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 6:13:56,Mañana (8 a 12hs),Tec. Superior en Turismo,18-22,Cuaderno/papel,Si,"Se desorganizan rápido, Pierdo notas con frecuencia",Raramente,3,"Que funcione sin internet, Que sea rápida, Que guarde automáticamente",Celular,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 8:38:12,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,18-22,Cuaderno/papel,Si,"Se desorganizan rápido, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",A veces,4,"Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 10:45:40,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,18-22,No tomo notas,,,Nunca,3,"Que funcione sin internet, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",No sé cómo la verdad tomar notas 
5/12/2026 10:45:45,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,28-35,Cuaderno/papel,No,,Nunca,3,"Que funcione sin internet, Que sea rápida, Que no pida cuenta, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Con respecto al internet, pongo nunca xq siempre me figura que no hay acceso al internet"
5/12/2026 10:50:43,Mañana (8 a 12hs),Prof. de Danzas con orientación Folklorica,23-27,Cuaderno/papel,Si,"Se desorganizan rápido, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",Nunca,4,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que funcione en celular y PC",Celular,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 10:52:16,Mañana (8 a 12hs),Prof. de Danzas con orientación Folklorica,28-35,Cuaderno/papel,Si,"Se desorganizan rápido, Pierdo notas con frecuencia",Nunca,5,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Tenga la opción de recuperar por si olvidó guardar o elimino
"
5/12/2026 10:53:32,Tarde (14 a 18hs),Prof. en Lengua y Literatura,28-35,Cuaderno/papel,No,,Casi siempre,5,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)","Análisis de sintagma ,y oración en latín "
5/12/2026 10:56:04,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,23-27,Celular,No,,Casi siempre,3,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",Diagrama es un poco complicado jjj
5/12/2026 10:58:24,Tarde (14 a 18hs),Prof. en Educación Primaria,23-27,Cuaderno/papel,Si,"Se desorganizan rápido, Pierdo notas con frecuencia",Casi siempre,5,"Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 11:00:52,Tarde (14 a 18hs),Prof. en Lengua y Literatura,23-27,Cuaderno/papel,No,,Raramente,5,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Que puedan agregar un diccionario de sinónimos, ya que a la hora de escribir es mejor hacerlo con palabras sencillas. "
5/12/2026 11:01:16,Tarde (14 a 18hs),Prof. en Lengua y Literatura,18-22,Cuaderno/papel,No,,Raramente,4,Que permita organizar por materia,Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Agenda para organizar horarios de materias, apuntes, etc."
5/12/2026 11:01:32,Tarde (14 a 18hs),Prof. en Educación Primaria,23-27,Cuaderno/papel,Si,"Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",Nunca,4,"Que funcione sin internet, Que guarde automáticamente",Celular,Tal vez,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 11:02:14,Mañana (8 a 12hs),Prof. de Danzas con orientación Folklorica,23-27,Celular,Si,"Se desorganizan rápido, Pierdo notas con frecuencia, No sé bien que anotar y anoto hasta lo innecesario",Casi siempre,5,"Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Notebook/PC,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)","Resumir los temas de las materias teóricas como ser Práctica Docente II, Historia Argentina y Latinoamericana, etc digamos que aún me cuesta eso de resumir mucha teoría Pero si la app ayudará en algo así también, sería muchísimo apoyo, Éxitos chicos y chicas :) 🫶🏻"
5/12/2026 11:03:45,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,18-22,Cuaderno/papel,No,,Casi siempre,2,"Que funcione sin internet, Que no pida cuenta",Cualquiera por igual,Sí,"No me importa, con tal de encontrarlas rápido","Perderlas. Y para la app sugeriría que sea como cualquier gestor de texto, que se abra una interfaz donde se puedan crear múltiples notas. Crearlas y luego gestionarlas en el menu principal, así mismo, tener la opción de asignarle algún grado de seguridad a una o varias notas, ya sea un pin o una contraseña. Por otro lado, poder agrupar las notas por categorías para tener por ejemplo Apuntes(matematicas, historia) - Social (Guion para nuevo video, ideas para contenido) son solo un ejemplo."
5/12/2026 11:05:08,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,18-22,Notebook/PC,No,,A veces,4,"Que funcione sin internet, Que sea rápida, Que no pida cuenta, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Notebook/PC,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",Estaría bueno si es parecido similar a la plataforma de moodle donde tiene las materias con su nombre y un fondo decorativo e icono. Y que funcione sin internet ya que en el instituto el internet de ahí es muy baja su señal
5/12/2026 11:05:43,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,18-22,Cuaderno/papel,No,,Casi siempre,5,Que funcione sin internet,Cualquiera por igual,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 11:06:47,Tarde (14 a 18hs),Prof. en Lengua y Literatura,28-35,Cuaderno/papel,No,,A veces,5,"Que funcione sin internet, Que permita organizar por materia, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Estaría bueno que permita guardar fotos, subir imágenes y grabar audios "
5/12/2026 11:07:22,Tarde (14 a 18hs),Prof. en Lengua y Literatura,23-27,Cuaderno/papel,No,,A veces,5,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",En caracterización de obras o libros 
5/12/2026 11:07:58,Mañana (8 a 12hs),Prof. de Danzas con orientación Folklorica,23-27,Cuaderno/papel,No,,A veces,3,"Que funcione sin internet, Que no pida cuenta, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,En una lista simple sin organización,
5/12/2026 11:13:07,Tarde (14 a 18hs),Prof. en Lengua y Literatura,18-22,Cuaderno/papel,Si,"Se desorganizan rápido, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas)",A veces,4,"Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 11:13:49,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,23-27,Cuaderno/papel,Si,"Me cuesta organizar el formato (títulos, listas, tablas, fórmulas)",A veces,3,"Que funcione sin internet, Que permita organizar por materia",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 11:16:30,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,No,,A veces,4,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",Que la app podría contar con algunos tips para la planificación de algunas actividades 
5/12/2026 11:19:19,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,18-22,Celular,No,,Raramente,5,Que funcione en celular y PC,Cualquiera por igual,Tal vez,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 11:24:32,Tarde (14 a 18hs),Prof. en Lengua y Literatura,18-22,Cuaderno/papel,Si,Pierdo notas con frecuencia,Casi siempre,5,"Que sea rápida, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Para tomar nota se necesita ser muy rápido porque sino se pierde información importante. Por eso, muchas veces se toman fotos cuando se trata de una imagen."
5/12/2026 11:25:16,Mañana (8 a 12hs),Prof. de Danzas con orientación Folklorica,36-45,Cuaderno/papel,Si,No encuentro lo que busco,Raramente,5,Que funcione sin internet,Celular,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",No hay algo específico 
5/12/2026 11:29:45,Mañana (8 a 12hs),Prof. de Danzas con orientación Folklorica,36-45,Cuaderno/papel,No,,Nunca,5,"Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,En una lista simple sin organización,
5/12/2026 11:31:20,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,No,,Raramente,4,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","•Que se pueda adjuntar fotos o imágenes (algunos profesores escriben mientras explican y borran todo rápidamente)
•Un formato de Planificaciones (permitiría seguir la corriente a las explicaciones de los profesores) 
"
5/12/2026 11:31:42,Mañana (8 a 12hs),Prof. de Danzas con orientación Folklorica,18-22,Cuaderno/papel,Si,"No encuentro lo que busco, Se desorganizan rápido",Raramente,5,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
