Timestamp,P1. ¿En qué turno cursás?,P2. ¿Qué carrera cursás?,P3. ¿En qué rango de edad te encontrás?,P4. ¿Cómo tomás notas principalmente en clase?,P5. ¿Sentís que tenés alguna dificultad con tu forma actual de tomar notas?,P5b. ¿Cuáles son las principales dificultades? (elegí hasta 3),P6. ¿Tenés acceso estable a internet en el instituto?,"P7. ¿Qué tan útil te parecería una app web gratuita, sin cuenta, para tomar notas de estudio?",P8. ¿Qué características te importan más en una app de notas? (elegí hasta 3),P9. ¿Desde qué dispositivo usarías más una app de notas?,P10. ¿Probarías un prototipo de la app cuando esté disponible?,P11. ¿Cómo preferirías organizar tus notas de estudio?,P12. ¿Algún comentario o sugerencia? (opcional)
5/12/2026 11:33:52,Tarde (14 a 18hs),Prof. en Educación Primaria,23-27,Cuaderno/papel,No,,Siempre,5,Que permita organizar por materia,Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 11:35:49,Mañana (8 a 12hs),Prof. de Danzas con orientación Folklorica,28-35,Cuaderno/papel,Si,Pierdo notas con frecuencia,Nunca,5,Que funcione sin internet,Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 11:36:01,Tarde (14 a 18hs),Prof. en Lengua y Literatura,18-22,Cuaderno/papel,No,,Raramente,5,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,En una lista simple sin organización,
5/12/2026 11:37:03,Tarde (14 a 18hs),Prof. en Lengua y Literatura,18-22,Cuaderno/papel,No,,Raramente,5,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 11:43:08,Mañana (8 a 12hs),Prof. de Danzas con orientación Folklorica,18-22,Cuaderno/papel,No,,A veces,5,Que funcione sin internet,Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 11:45:24,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,46 o más,No tomo notas,,,Siempre,4,"Que sea rápida, Que no pida cuenta, Que permita organizar por materia",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 11:46:13,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,18-22,Cuaderno/papel,No,,Nunca,5,"Que funcione sin internet, Que permita organizar por materia, Que funcione en celular y PC",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 11:52:58,Tarde (14 a 18hs),Prof. en Lengua y Literatura,18-22,Cuaderno/papel,Si,"Se desorganizan rápido, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",A veces,5,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"No me importa, con tal de encontrarlas rápido",
5/12/2026 11:59:37,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,No,,Nunca,5,"Que funcione sin internet, Que permita organizar por materia, Que funcione en celular y PC",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Estaría bueno que además de de organizarlo por materias que tambien haya una mini organización por parciales, o exámenes finales, resúmenes o apuntes de PowerPoint qué comparten los profesores."
5/12/2026 12:00:15,Mañana (8 a 12hs),Tec. Superior en Turismo,23-27,Cuaderno/papel,No,,Raramente,3,"Que funcione sin internet, Que permita organizar por materia, Que funcione en celular y PC",Cualquiera por igual,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 12:00:20,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,Si,"Se desorganizan rápido, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",A veces,4,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 12:01:58,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,23-27,No tomo notas,,,Raramente,4,"Que funcione sin internet, Que no pida cuenta, Que permita organizar por materia, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 12:02:50,Mañana (8 a 12hs),Tec. Superior en Turismo,28-35,Cuaderno/papel,No,,Siempre,5,"Que sea rápida, Que permita organizar por materia",Celular,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","La verdad que nada se complica, ya que tenemos la
Posibilidad de ir tomando notas en el cuaderno mientras el profesor/a explica la clase. "
5/12/2026 12:06:55,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,Si,"No encuentro lo que busco, Se desorganizan rápido",Raramente,5,"Que funcione sin internet, Que sea rápida, Que no pida cuenta, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 12:08:04,Mañana (8 a 12hs),Tec. Superior en Turismo,23-27,Cuaderno/papel,No,,A veces,5,Que permita organizar por materia,Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",Planificación 
5/12/2026 12:12:10,Tarde (14 a 18hs),Prof. en Lengua y Literatura,28-35,Cuaderno/papel,No,,A veces,5,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Planificaciones, que sea compatible con el grabador de voz para ingresar texto.
Plantillas para elaborar cuadros comparativos, mapas mentales, cuadro sinóptico u otros relacionados a gráficas de técnicas de estudio.
Que a la nota se le pueda añadir imagen y que se le de formato para imprimir.
"
5/12/2026 12:12:29,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,18-22,Cuaderno/papel,Si,"Se desorganizan rápido, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas)",Raramente,5,"Que funcione sin internet, Que guarde automáticamente",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 12:12:29,Tarde (14 a 18hs),Prof. en Educación Primaria,23-27,Cuaderno/papel,Si,"Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",Casi siempre,5,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que funcione en celular y PC",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 12:12:56,Tarde (14 a 18hs),Prof. en Lengua y Literatura,18-22,Cuaderno/papel,No,,Raramente,4,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",Que la app permita el diseño de mapas mentales o esquemas jerárquicos de información.
5/12/2026 12:12:57,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,Si,Pierdo notas con frecuencia,Nunca,3,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente",Celular,Tal vez,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 12:15:18,Mañana (8 a 12hs),Tec. Superior en Turismo,18-22,Celular,No,,A veces,4,"Que permita organizar por materia, Que funcione en celular y PC",Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)","Si porque : Implementar un editor de ecuaciones rápido (tipo Word y PDF o un modo ""fórmula"" que convierta organizado en las notas en el celular mano alzada en texto limpio "
5/12/2026 12:16:53,Tarde (14 a 18hs),Prof. en Educación Primaria,23-27,Cuaderno/papel,Si,La velocidad al escribir,A veces,3,"Que permita organizar por materia, Que guarde automáticamente",Celular,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Que no solo se escriban notas, sino que también se pueda incluir audios y fotos."
5/12/2026 12:17:24,Tarde (14 a 18hs),Prof. en Educación Primaria,23-27,Cuaderno/papel,Si,"No encuentro lo que busco, No puedo acceder sin internet, Por ejemplo algunas veces las diapositivas de guía son borradas o se cambian los materiales haciendo como que quede en nada los apuntes ",A veces,5,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que funcione en celular y PC",Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 12:18:25,Tarde (14 a 18hs),Prof. en Educación Primaria,28-35,Cuaderno/papel,Si,"Se desorganizan rápido, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas)",A veces,5,"Que sea rápida, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 12:23:37,Tarde (14 a 18hs),Prof. en Educación Primaria,36-45,Cuaderno/papel,No,,A veces,5,Que funcione en celular y PC,Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 12:27:30,Tarde (14 a 18hs),Prof. en Lengua y Literatura,23-27,Cuaderno/papel,Si,Se desorganizan rápido,Raramente,5,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",Van hacer una App? 👀 Éxitos 👏🌹
5/12/2026 12:27:44,Tarde (14 a 18hs),Prof. en Educación Primaria,36-45,Cuaderno/papel,Si,No me da tiempo a escribir todo lo que necesito,Casi siempre,5,"Que funcione sin internet, Que sea rápida, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 12:36:59,Tarde (14 a 18hs),Prof. en Educación Primaria,23-27,Cuaderno/papel,No,,A veces,4,"Que funcione sin internet, Que sea rápida, Que no pida cuenta",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 12:57:33,Mañana (8 a 12hs),Tec. Superior en Turismo,18-22,Cuaderno/papel,No,,A veces,4,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 13:02:24,Tarde (14 a 18hs),Prof. en Lengua y Literatura,23-27,Cuaderno/papel,Si,"No encuentro lo que busco, Se desorganizan rápido, Lo logro entender después lo que escribí, dado que la toma de apuntes por veces es rápida ",A veces,4,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",Que me permita visualizar las correcciones y agregar más contenido a notas anteriores.
5/12/2026 13:04:59,Noche (19 a 23hs),Prof. Educación Especial,28-35,Cuaderno/papel,Si,"No encuentro lo que busco, Se desorganizan rápido",Nunca,2,"Que funcione sin internet, Que funcione en celular y PC",Cualquiera por igual,Tal vez,"No me importa, con tal de encontrarlas rápido",
5/12/2026 13:05:31,Noche (19 a 23hs),Prof. Educación Especial,23-27,Tablet,No,,A veces,5,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia",Tablet,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 13:05:55,Noche (19 a 23hs),Prof. Educación Especial,23-27,Cuaderno/papel,No,,Raramente,5,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 13:06:13,Noche (19 a 23hs),Prof. Educación Especial,23-27,Cuaderno/papel,Si,"Se desorganizan rápido, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",Nunca,5,"Que funcione sin internet, Que permita organizar por materia, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 13:06:14,Noche (19 a 23hs),Prof. Educación Especial,18-22,Cuaderno/papel,No,,Raramente,3,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que funcione en celular y PC",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 13:08:14,Noche (19 a 23hs),Prof. Educación Especial,18-22,Cuaderno/papel,Si,"Se desorganizan rápido, Pierdo notas con frecuencia",A veces,4,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente",Notebook/PC,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 13:13:25,Noche (19 a 23hs),Prof. Educación Especial,18-22,Cuaderno/papel,No,,Casi siempre,4,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 13:14:17,Noche (19 a 23hs),Prof. Educación Especial,23-27,Cuaderno/papel,No,,A veces,5,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 13:30:23,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,No,,Raramente,3,"Que funcione sin internet, Que sea rápida, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Los


Planificación y dictados en los profesorados y power point "
5/12/2026 13:31:49,Noche (19 a 23hs),Prof. Educación Especial,18-22,Cuaderno/papel,No,,Siempre,4,"Que sea rápida, Que permita organizar por materia, Que guarde automáticamente",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 13:34:57,Noche (19 a 23hs),Prof. Educación Especial,23-27,Cuaderno/papel,Si,"Se desorganizan rápido, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",A veces,5,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Una sugerencia sería el poder realizar esquemas, mapas conceptuales y/o agregar imágenes o gráficas "
5/12/2026 13:38:28,Noche (19 a 23hs),Prof. Educación Especial,28-35,Cuaderno/papel,No,,Nunca,4,Que funcione en celular y PC,Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",Diseñar planificación 
5/12/2026 13:46:18,Noche (19 a 23hs),Prof. Educación Especial,23-27,Cuaderno/papel,Si,Se desorganizan rápido,Nunca,5,"Que sea rápida, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 13:52:12,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,No,,A veces,5,"Que funcione sin internet, Que sea rápida, Que guarde automáticamente",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 13:57:46,Tarde (14 a 18hs),Prof. en Educación Primaria,23-27,Cuaderno/papel,Si,"No encuentro lo que busco, Se desorganizan rápido, Pierdo notas con frecuencia",Raramente,4,"Que funcione sin internet, Que guarde automáticamente",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","Mayormente, sucede que queremos anotar todo por miedo a perder un dato importante. Sin embargo, lo que perdemos es la explicación. 
Estaría bueno que la app nos de un límite de caracteres por concepto, asi nos conduciría a anotar lo esencial.

¡Éxito!"
5/12/2026 14:00:01,Noche (19 a 23hs),Prof. Educación Especial,36-45,Cuaderno/papel,Si,"Se desorganizan rápido, Pierdo notas con frecuencia",Nunca,5,"Que funcione sin internet, Que permita organizar por materia, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",Creo que el hecho de que varias materias se manejan con power y es un poco difícil tomar nota ya que se apagan las luces para poder proyectarlos
5/12/2026 14:06:42,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,18-22,Cuaderno/papel,Si,Pierdo notas con frecuencia,Raramente,3,"Que permita organizar por materia, Que guarde automáticamente",Cualquiera por igual,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 14:12:53,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,No,,A veces,4,"Que funcione sin internet, Que sea rápida, Que funcione en celular y PC",Cualquiera por igual,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 14:32:36,Noche (19 a 23hs),Prof. Educación Especial,28-35,Cuaderno/papel,No,,A veces,5,Que funcione en celular y PC,Notebook/PC,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 14:36:11,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,Si,Pierdo notas con frecuencia,A veces,2,Que sea rápida,Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",
5/12/2026 14:37:28,Tarde (14 a 18hs),Prof. en Educación Primaria,23-27,Cuaderno/papel,No,,Casi siempre,5,"Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")","La rapidez con la que a veces explican los profes, "
5/12/2026 15:25:14,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,23-27,Celular,Si,"Se desorganizan rápido, Pierdo notas con frecuencia",Raramente,5,"Que sea rápida, Que permita organizar por materia, Que funcione en celular y PC",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",Que se puedan fijar fechas para los parciales 
5/12/2026 16:28:25,Tarde (14 a 18hs),Prof. en Educación Primaria,23-27,Cuaderno/papel,Si,"No encuentro lo que busco, Se desorganizan rápido, Pierdo notas con frecuencia",Casi siempre,5,"Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 16:56:47,Tarde (14 a 18hs),Prof. en Lengua y Literatura,28-35,Cuaderno/papel,No,,Raramente,4,Que funcione sin internet,Celular,Tal vez,"No me importa, con tal de encontrarlas rápido",
5/12/2026 17:15:54,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,Si,"Me cuesta organizar el formato (títulos, listas, tablas, fórmulas)",A veces,5,"Que funcione sin internet, Que permita organizar por materia, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 18:39:24,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,Si,Se desorganizan rápido,A veces,1,Que funcione sin internet,Cualquiera por igual,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 19:03:22,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,Si,"Se desorganizan rápido, Pierdo notas con frecuencia",A veces,4,"Que funcione sin internet, Que no pida cuenta, Que permita organizar por materia",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 19:27:13,Solo vengo a rendir,Tec. en Analisis de Sistemas y Desarrollo de Software,46 o más,No tomo notas,,,Siempre,1,"Que funcione sin internet, Que sea rápida, Que no pida cuenta, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Cualquiera por igual,No,"No me importa, con tal de encontrarlas rápido",
5/12/2026 20:43:34,Tarde (14 a 18hs),Prof. en Lengua y Literatura,28-35,Cuaderno/papel,Si,Pierdo notas con frecuencia,Nunca,5,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Cualquiera por igual,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 21:13:57,Tarde (14 a 18hs),Prof. en Educación Primaria,28-35,Cuaderno/papel,No,,Raramente,5,"Que funcione sin internet, Que permita organizar por materia, Que guarde automáticamente",Cualquiera por igual,Tal vez,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 21:26:05,Noche (19 a 23hs),Prof. Educación Especial,18-22,Cuaderno/papel,No,,Nunca,5,"Que funcione sin internet, Que permita organizar por materia, Que funcione en celular y PC",Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)","que sirva para realizar cuadros sinopticos y que no sea dificulte al hacerlos, que permita tomar ideas principales que se puedan marcan con colores para que nos facilite recordarla. que cada materia o espacio de nota tengan un color específico "
5/12/2026 21:43:31,Tarde (14 a 18hs),Prof. en Educación Primaria,23-27,Cuaderno/papel,Si,"Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",Raramente,4,"Que funcione sin internet, Que sea rápida, Que permita organizar por materia, Que guarde automáticamente, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 22:06:53,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,28-35,Cuaderno/papel,No,,Casi siempre,5,"Que funcione sin internet, Que permita organizar por materia, Que funcione en celular y PC",Celular,Sí,"En carpetas por materia (ej: ""Álgebra"", ""Historia"")",
5/12/2026 23:33:44,Tarde (14 a 18hs),Prof. en Educación Primaria,18-22,Cuaderno/papel,Si,"Se desorganizan rápido, Me cuesta organizar el formato (títulos, listas, tablas, fórmulas), Pierdo notas con frecuencia",A veces,5,"Que funcione sin internet, Que sea rápida, Que funcione en celular y PC",Celular,Sí,"No me importa, con tal de encontrarlas rápido",Algunos cuadros que no son explicados muy bien 
5/13/2026 20:51:38,Noche (19 a 23hs),Tec. en Analisis de Sistemas y Desarrollo de Software,18-22,Cuaderno/papel,No,,Raramente,4,Que sea rápida,Celular,Sí,"Con etiquetas/tags (ej: #parcial, #resumen)",